train_smiles,test_smiles
[H:20][C:4]1=[C:5]([C:9]([C@:10]([C@:2]([C:3]1([H:18])[H:19])([H:17])[N:1]([H:15])[H:16])([H:25])[N:11]([H:26])/[C:12](=[N:13]\[H:27])/[N:14]([H:28])[H:29])([H:23])[H:24])[B:6]([O:7][H:21])[O:8][H:22],[H:20][C:4]1=[C:5]([C:9]([C@@:10]([C@@:2]([C:3]1([H:18])[H:19])([H:17])[N:1]([H:15])[H:16])([H:25])[N:11]([H:26])/[C:12](=[N:13]\[H:27])/[N:14]([H:28])[H:29])([H:23])[H:24])[B:6]([O:7][H:21])[O:8][H:22]
[H:19][C:7]1=[C:6]([N:5]([C:4](=[N+:8]1[H:20])[C:3]([H:17])([C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[N:11]([H:22])[H:23])[H:18])[C:9](=[O:10])[H:21],[H:19][C:7]1=[C:6]([N:5]([C:4](=[N+:8]1[H:20])[C:3]([H:17])([C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[N:11]([H:22])[H:23])[H:18])[C:9](=[O:10])[H:21]
[H:13][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[H:17])[H:16])[N:7]([H:18])[C:8](=[N:9][H:19])[N:10]([H:20])[C:11]#[N:12])[H:15])[H:14],[H:13][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[H:17])[H:16])[N:7]([H:18])[C:8](=[N:9][H:19])[N:10]([H:20])[C:11]#[N:12])[H:15])[H:14]
[H:21][C:8]1([C:9]([N:10]([C:11](=[O:12])[C:7]1([H:20])[N+:2]([H:16])([C:1]([H:13])([H:14])[H:15])[C:3]([H:17])([H:18])[C:4]([H:19])([F:5])[F:6])[H:25])([H:23])[H:24])[H:22],[H:21][C:8]1([C:9]([N:10]([C:11](=[O:12])[C:7]1([H:20])[N+:2]([H:16])([C:1]([H:13])([H:14])[H:15])[C:3]([H:17])([H:18])[C:4]([H:19])([F:5])[F:6])[H:25])([H:23])[H:24])[H:22]
[H:15][C:2](=[O:3])[C:1]([H:13])([H:14])[O:4][P:5](=[O:6])([O-:7])[O:8][P:9](=[O:10])([O-:11])[O-:12],[H:15][C:2](=[O:3])[C:1]([H:13])([H:14])[O:4][P:5](=[O:6])([O-:7])[O:8][P:9](=[O:10])([O-:11])[O-:12]
[O:1]=[C:2](/[C:3](=[N:4]/[O:5][H:14])[H:13])[C@:6]1([H:15])[C:7]([H:16])([H:17])[C:8]([H:18])([H:19])[C:9]([H:20])([H:21])[C:10]([H:22])([H:23])[C@:11]1([I:12])[H:24],[O:1]=[C:2](/[C:3](=[N:4]/[O:5][H:14])[H:13])[C@@:6]1([H:15])[C:7]([H:16])([H:17])[C:8]([H:18])([H:19])[C:9]([H:20])([H:21])[C:10]([H:22])([H:23])[C@@:11]1([I:12])[H:24]
[I:1][C:2]1=[C:3]([H:9])[C:4]([H:10])([H:11])[C@:5]([Br:6])([H:12])[C:7]([H:13])=[C:8]1[H:14],[I:1][C:2]1=[C:3]([H:9])[C:4]([H:10])([H:11])[C@@:5]([Br:6])([H:12])[C:7]([H:13])=[C:8]1[H:14]
[H:13][C:1]1=[C:2]([N:3]=[C:4]([N:5]1[H:15])[H:14])[C:6]([H:16])([H:17])[C:7]([H:18])([H:19])[C:8]([H:20])([H:21])[N:9]=[C:10]([N:11]([H:22])[H:23])[N:12]([H:24])[H:25],[H:13][C:1]1=[C:2]([N:3]=[C:4]([N:5]1[H:15])[H:14])[C:6]([H:16])([H:17])[C:7]([H:18])([H:19])[C:8]([H:20])([H:21])[N:9]=[C:10]([N:11]([H:22])[H:23])[N:12]([H:24])[H:25]
[H:19][C:8](=[O:9])[C:7]([H:18])([C:6]([H:16])([H:17])[C:5]([H:14])([H:15])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[N+:10]([H:20])([H:21])[H:22],[H:19][C:8](=[O:9])[C:7]([H:18])([C:6]([H:16])([H:17])[C:5]([H:14])([H:15])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[N+:10]([H:20])([H:21])[H:22]
[I:1][C:2]([I:3])([I:4])[C@@:5]1([H:10])[N+:6]([H:11])([H:12])[C:7]([H:13])([H:14])[C:8]([H:15])([H:16])[O:9]1,[I:1][C:2]([I:3])([I:4])[C@:5]1([H:10])[N+:6]([H:11])([H:12])[C:7]([H:13])([H:14])[C:8]([H:15])([H:16])[O:9]1
[H:13][C:1]#[C:2][C:3]([H:14])([H:15])[C:4]1([C:5]([C:6]([O:7][C:8]1([H:19])[C:9]([H:20])([H:21])[O:10][H:22])([H:17])[H:18])([H:16])[O:11][H:23])[O:12][H:24],[H:13][C:1]#[C:2][C:3]([H:14])([H:15])[C:4]1([C:5]([C:6]([O:7][C:8]1([H:19])[C:9]([H:20])([H:21])[O:10][H:22])([H:17])[H:18])([H:16])[O:11][H:23])[O:12][H:24]
[H:13][C:1]1=[C:2]([S:3][C:4](=[N:5]1)[H:14])[C:6]2([C:7]([C:8]([C:9]([N:10]2[H:21])([H:19])[H:20])([H:17])[H:18])([H:16])[C:11]([H:22])([H:23])[N+:12]([H:24])([H:25])[H:26])[H:15],[H:13][C:1]1=[C:2]([S:3][C:4](=[N:5]1)[H:14])[C:6]2([C:7]([C:8]([C:9]([N:10]2[H:21])([H:19])[H:20])([H:17])[H:18])([H:16])[C:11]([H:22])([H:23])[N+:12]([H:24])([H:25])[H:26])[H:15]
[H:13][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]1([H:21])[H:22])([H:20])[C:7](=[O:8])[C:9]([H:23])([H:24])[N:10]=[O:11])([H:19])[Cl:12])([H:17])[H:18])([H:15])[H:16])[H:14],[H:13][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]1([H:21])[H:22])([H:20])[C:7](=[O:8])[C:9]([H:23])([H:24])[N:10]=[O:11])([H:19])[Cl:12])([H:17])[H:18])([H:15])[H:16])[H:14]
[H:18][C:8]1=[N:7][C:6](=[C:5]([N:9]1[H:19])[C:4]([H:16])([H:17])[S:3][C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])[C:10]([H:20])([H:21])[H:22],[H:18][C:8]1=[N:7][C:6](=[C:5]([N:9]1[H:19])[C:4]([H:16])([H:17])[S:3][C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])[C:10]([H:20])([H:21])[H:22]
[H:13][C:1]1=[C:2]([N:3]=[N:4][N:5]1[H:14])[C:6]([H:15])([C:7]2([C:8]([C:9]([C:10]([O:11]2)([H:21])[H:22])([H:19])[H:20])([H:17])[H:18])[H:16])[N:12]([H:23])[H:24],[H:13][C:1]1=[C:2]([N:3]=[N:4][N:5]1[H:14])[C:6]([H:15])([C:7]2([C:8]([C:9]([C:10]([O:11]2)([H:21])[H:22])([H:19])[H:20])([H:17])[H:18])[H:16])[N:12]([H:23])[H:24]
[H:8][C:1]([H:9])([N:2]([H:10])[H:11])[P:3](=[O:4])([C:5]([H:12])([H:13])[O:6][H:14])[S:7][H:15],[H:8][C:1]([H:9])([N:2]([H:10])[H:11])[P:3](=[O:4])([C:5]([H:12])([H:13])[O:6][H:14])[S:7][H:15]
[N:1](=[C:2]1\[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])=[N:6][C@@:7]1([I:8])[H:15])\[H:9],[N:1](=[C:2]1/[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])=[N:6][C@@:7]1([I:8])[H:15])\[H:9]
[H:20][C:8](=[N+:9]=[N-:10])[C:6](=[O:7])[C:5]([H:19])([C:4]([H:17])([H:18])[S:3][C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[N+:11]([H:21])([H:22])[H:23],[H:20][C:8](=[N+:9]=[N-:10])[C:6](=[O:7])[C:5]([H:19])([C:4]([H:17])([H:18])[S:3][C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[N+:11]([H:21])([H:22])[H:23]
[H:30][C:11](=[O:12])[C:8]([C:9]([H:24])([H:25])[H:26])([C:10]([H:27])([H:28])[H:29])[N+:7]([H:22])([H:23])[C:3]1([C:4]([C:5]([O:6][C:2]1([H:16])[C:1]([H:13])([H:14])[H:15])([H:20])[H:21])([H:18])[H:19])[H:17],[H:30][C:11](=[O:12])[C:8]([C:9]([H:24])([H:25])[H:26])([C:10]([H:27])([H:28])[H:29])[N+:7]([H:22])([H:23])[C:3]1([C:4]([C:5]([O:6][C:2]1([H:16])[C:1]([H:13])([H:14])[H:15])([H:20])[H:21])([H:18])[H:19])[H:17]
[C:1]([C:2]1=[C:9]([I:10])[C:8]([H:17])=[C:4]([C:5](/[N:6]=[N:7]\[H:16])([H:14])[H:15])[O:3]1)([H:11])([H:12])[H:13],[C:1]([C:2]1=[C:9]([I:10])[C:8]([H:17])=[C:4]([C:5](/[N:6]=[N:7]/[H:16])([H:14])[H:15])[O:3]1)([H:11])([H:12])[H:13]
[H:12][C:1]([H:13])([H:14])[C:2]#[C:3][C:4]([H:15])([H:16])[S:5][C:6]1=[N:10][N:9]([C:8](=[N:7]1)[C:11]([H:18])([H:19])[H:20])[H:17],[H:12][C:1]([H:13])([H:14])[C:2]#[C:3][C:4]([H:15])([H:16])[S:5][C:6]1=[N:10][N:9]([C:8](=[N:7]1)[C:11]([H:18])([H:19])[H:20])[H:17]
[H:15][C:3]1([C:4]([C:5]([C:6]([N+:2]1([H:14])[C:1]([H:11])([H:12])[H:13])([H:19])[C:7]([H:20])([H:21])[O:8][H:22])([H:18])[O:9][H:23])([H:17])[O:10][H:24])[H:16],[H:15][C:3]1([C:4]([C:5]([C:6]([N+:2]1([H:14])[C:1]([H:11])([H:12])[H:13])([H:19])[C:7]([H:20])([H:21])[O:8][H:22])([H:18])[O:9][H:23])([H:17])[O:10][H:24])[H:16]
[H:17][C:3]1([C:2]([C:8]([C:6](=[O:7])[C:5]([C:4]1([H:19])[O:12][H:26])([H:20])[O:11][H:25])([H:21])[C:9]([H:22])([H:23])[O:10][H:24])([H:16])[C:1]([H:13])([H:14])[H:15])[H:18],[H:17][C:3]1([C:2]([C:8]([C:6](=[O:7])[C:5]([C:4]1([H:19])[O:12][H:26])([H:20])[O:11][H:25])([H:21])[C:9]([H:22])([H:23])[O:10][H:24])([H:16])[C:1]([H:13])([H:14])[H:15])[H:18]
[H:10][C:1]([H:11])([H:12])[C:2]([C:6](=[O:7])[C:8]([H:19])([H:20])[O:9][H:21])([C:3]([H:13])([H:14])[H:15])[C:4]([H:16])([H:17])[O:5][H:18],[H:10][C:1]([H:11])([H:12])[C:2]([C:6](=[O:7])[C:8]([H:19])([H:20])[O:9][H:21])([C:3]([H:13])([H:14])[H:15])[C:4]([H:16])([H:17])[O:5][H:18]
[H:17][C:1](=[O:2])[C@:3]1([C@:15]([C@:13]([C@:11]([C@@:5]([O:4]1)([H:19])[O:6][Si:7]([C:8]([H:20])([H:21])[H:22])([O:9][H:23])[O:10][H:24])([H:25])[O:12][H:26])([H:27])[O:14][H:28])([H:29])[O:16][H:30])[H:18],[H:17][C:1](=[O:2])[C@:3]1([C@@:15]([C@:13]([C@:11]([C@:5]([O:4]1)([H:19])[O:6][Si:7]([C:8]([H:20])([H:21])[H:22])([O:9][H:23])[O:10][H:24])([H:25])[O:12][H:26])([H:27])[O:14][H:28])([H:29])[O:16][H:30])[H:18]
[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]1=[N:7][N:6]([C:5](=[N:4]1)[C:8]([H:18])([H:19])[C:9]([H:20])([C:10]([H:21])([H:22])[H:23])[N:11]([H:24])[H:25])[H:17],[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]1=[N:7][N:6]([C:5](=[N:4]1)[C:8]([H:18])([H:19])[C:9]([H:20])([C:10]([H:21])([H:22])[H:23])[N:11]([H:24])[H:25])[H:17]
[O:1]=[N+:2]([O-:3])[C@@:4]([I:5])([C@:6]([I:7])([C:8]([I:9])([H:12])[H:13])[H:11])[H:10],[O:1]=[N+:2]([O-:3])[C@@:4]([I:5])([C@@:6]([I:7])([C:8]([I:9])([H:12])[H:13])[H:11])[H:10]
[H:13][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[C:7]2([C:8]([C:9]2([H:19])[H:20])([H:17])[H:18])[H:16])[H:15])[C:10]([H:21])([H:22])[N:11]([H:23])[H:24])[F:12])[H:14],[H:13][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[C:7]2([C:8]([C:9]2([H:19])[H:20])([H:17])[H:18])[H:16])[H:15])[C:10]([H:21])([H:22])[N:11]([H:23])[H:24])[F:12])[H:14]
[C:1]([C@@:2]1([H:16])[C:3]([H:17])([H:18])[N+:4]([H:19])([H:20])[C:5]([H:21])([H:22])[C:6]([H:23])([H:24])[C:7]2=[C:12]1[O:11][C:9]([I:10])=[C:8]2[H:25])([H:13])([H:14])[H:15],[C:1]([C@:2]1([H:16])[C:3]([H:17])([H:18])[N+:4]([H:19])([H:20])[C:5]([H:21])([H:22])[C:6]([H:23])([H:24])[C:7]2=[C:12]1[O:11][C:9]([I:10])=[C:8]2[H:25])([H:13])([H:14])[H:15]
[H:15][C:4](=[O:5])[C:3]([H:13])([H:14])[C:2]([C:6]1([C:7]([C:8]1([H:19])[H:20])([H:17])[H:18])[H:16])([C:1]([H:10])([H:11])[H:12])[N+:9]([H:21])([H:22])[H:23],[H:15][C:4](=[O:5])[C:3]([H:13])([H:14])[C:2]([C:6]1([C:7]([C:8]1([H:19])[H:20])([H:17])[H:18])[H:16])([C:1]([H:10])([H:11])[H:12])[N+:9]([H:21])([H:22])[H:23]
[H:24][C:11](=[O:12])[C:9](=[O:10])[C:3]1([C:4]([C:5]([C:6]([C:7]([O:8]1)([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[O:2][C:1]([H:13])([H:14])[H:15],[H:24][C:11](=[O:12])[C:9](=[O:10])[C:3]1([C:4]([C:5]([C:6]([C:7]([O:8]1)([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[O:2][C:1]([H:13])([H:14])[H:15]
[O:1]=[C:2]([C@@:3]([F:4])([C@@:5]([I:6])([C:7](=[O:8])[H:12])[H:11])[H:10])[H:9],[O:1]=[C:2]([C@@:3]([F:4])([C@@:5]([I:6])([C:7](=[O:8])[H:12])[H:11])[H:10])[H:9]
[N+:1]([C@:2]1([H:16])[C:3]([H:17])([H:18])[C@@:4]1([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([I:9])[c:10]([F:11])[c:12]1[H:22])[H:19])([H:13])([H:14])[H:15],[N+:1]([C@:2]1([H:16])[C:3]([H:17])([H:18])[C@:4]1([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([I:9])[c:10]([F:11])[c:12]1[H:22])[H:19])([H:13])([H:14])[H:15]
[H:12][C:1]1=[C:2]([N:3]=[C:4]([O:5]1)[C:6]([H:13])([H:14])[C:7]2([C:8]([C:9]2([H:18])[H:19])([H:16])[H:17])[H:15])[C:10](=[O:11])[H:20],[H:12][C:1]1=[C:2]([N:3]=[C:4]([O:5]1)[C:6]([H:13])([H:14])[C:7]2([C:8]([C:9]2([H:18])[H:19])([H:16])[H:17])[H:15])[C:10](=[O:11])[H:20]
[H:17][c:8]1[c:9]([c:10]([c:2]([c:3]([c:4]1[B:5]([O:6][H:15])[O:7][H:16])[H:14])[N:1]([H:12])[H:13])[O:11][H:19])[H:18],[H:17][c:8]1[c:9]([c:10]([c:2]([c:3]([c:4]1[B:5]([O:6][H:15])[O:7][H:16])[H:14])[N:1]([H:12])[H:13])[O:11][H:19])[H:18]
[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]1=[N:4][N:5]=[C:6]([O:7]1)[S:8][C:9]([H:17])([H:18])[C:10]#[N:11],[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]1=[N:4][N:5]=[C:6]([O:7]1)[S:8][C:9]([H:17])([H:18])[C:10]#[N:11]
[H:21][C:7](=[O:8])[C:5]1([C:6]([C:1]([C:2]([C:3]([N+:4]1([H:16])[H:17])([H:15])[C:9]([H:22])([H:23])[N:10]([H:24])[H:25])([H:13])[H:14])([H:11])[H:12])([H:19])[H:20])[H:18],[H:21][C:7](=[O:8])[C:5]1([C:6]([C:1]([C:2]([C:3]([N+:4]1([H:16])[H:17])([H:15])[C:9]([H:22])([H:23])[N:10]([H:24])[H:25])([H:13])[H:14])([H:11])[H:12])([H:19])[H:20])[H:18]
[H:19][C:7]([H:20])([H:21])[C:6]([H:17])([H:18])[O:5][Si:3]([C:4]([H:14])([H:15])[H:16])([N:1]([H:10])[C:2]([H:11])([H:12])[H:13])[N:8]([H:22])[C:9]([H:23])([H:24])[H:25],[H:19][C:7]([H:20])([H:21])[C:6]([H:17])([H:18])[O:5][Si:3]([C:4]([H:14])([H:15])[H:16])([N:1]([H:10])[C:2]([H:11])([H:12])[H:13])[N:8]([H:22])[C:9]([H:23])([H:24])[H:25]
[C:1]([C@:2]1([H:16])[C:3]([H:17])([H:18])[C@:4]1([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([I:9])[c:10]([H:22])[c:11]1[I:12])[H:19])([H:13])([H:14])[H:15],[C:1]([C@:2]1([H:16])[C:3]([H:17])([H:18])[C@@:4]1([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([I:9])[c:10]([H:22])[c:11]1[I:12])[H:19])([H:13])([H:14])[H:15]
[H:9][C:1]([H:10])([H:11])[O:2][C:3]([C:4]([H:12])([H:13])[O:5][H:14])([C:6]([H:15])([H:16])[O:7][H:17])[O:8][H:18],[H:9][C:1]([H:10])([H:11])[O:2][C:3]([C:4]([H:12])([H:13])[O:5][H:14])([C:6]([H:15])([H:16])[O:7][H:17])[O:8][H:18]
[H:12][C:1]1([C:2]([C:3]2([C:4]([N+:5]([C:6]1([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[C:7]([C:8]([C:9]2([H:25])[O:10][H:26])([H:23])[H:24])([H:22])[O:11][H:27])([H:14])[H:15])[H:13],[H:12][C:1]1([C:2]([C:3]2([C:4]([N+:5]([C:6]1([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[C:7]([C:8]([C:9]2([H:25])[O:10][H:26])([H:23])[H:24])([H:22])[O:11][H:27])([H:14])[H:15])[H:13]
[H:11][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:18])[H:19])([H:17])[C:6]([H:20])([H:21])[O:7][P:8](=[O:9])([H:22])[O-:10])([H:15])[H:16])([H:13])[H:14])[H:12],[H:11][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:18])[H:19])([H:17])[C:6]([H:20])([H:21])[O:7][P:8](=[O:9])([H:22])[O-:10])([H:15])[H:16])([H:13])[H:14])[H:12]
[H:14][C:2]1([C:1]([N+:6]([C:5]([C:4]([N:3]1[C:7]([H:22])([H:23])[C:8]([H:24])([C:9]([H:25])([H:26])[S:10][H:27])[N+:11]([H:28])([H:29])[H:30])([H:16])[H:17])([H:18])[H:19])([H:20])[H:21])([H:12])[H:13])[H:15],[H:14][C:2]1([C:1]([N+:6]([C:5]([C:4]([N:3]1[C:7]([H:22])([H:23])[C:8]([H:24])([C:9]([H:25])([H:26])[S:10][H:27])[N+:11]([H:28])([H:29])[H:30])([H:16])[H:17])([H:18])[H:19])([H:20])[H:21])([H:12])[H:13])[H:15]
[H:11][C:1](=[C:2]([H:13])[C:3]([H:14])([H:15])[C:4]1([C:5]([C:6]([C:7]([C:8]([N:9]1[H:24])([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])([H:17])[O:10][H:25])[H:16])[H:12],[H:11][C:1](=[C:2]([H:13])[C:3]([H:14])([H:15])[C:4]1([C:5]([C:6]([C:7]([C:8]([N:9]1[H:24])([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])([H:17])[O:10][H:25])[H:16])[H:12]
[N:1](=[C:2](\[C:3]1=[C:4]([I:5])[N:6]=[C:7]2[S:8][C:9]([H:14])=[C:10]([H:15])[N:11]12)[H:13])\[H:12],[N:1](=[C:2](/[C:3]1=[C:4]([I:5])[N:6]=[C:7]2[S:8][C:9]([H:14])=[C:10]([H:15])[N:11]12)[H:13])\[H:12]
[H:11][C:1]([H:12])([H:13])[C:2]([C:3]([H:14])([H:15])[H:16])([C:4]([H:17])([H:18])[H:19])[C:5]([H:20])([H:21])[C:6]([H:22])([H:23])[C:7]([H:24])([C:8]([H:25])([H:26])[O:9][H:27])[N:10]([H:28])[H:29],[H:11][C:1]([H:12])([H:13])[C:2]([C:3]([H:14])([H:15])[H:16])([C:4]([H:17])([H:18])[H:19])[C:5]([H:20])([H:21])[C:6]([H:22])([H:23])[C:7]([H:24])([C:8]([H:25])([H:26])[O:9][H:27])[N:10]([H:28])[H:29]
[H:12][C:1]1([C:2]([C:3]2([C:4]1([H:16])[H:17])[C:5]([N+:6]([C:7]([C:8]([O:9]2)([H:24])[C:10]([H:25])([H:26])[O:11][H:27])([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])([H:14])[H:15])[H:13],[H:12][C:1]1([C:2]([C:3]2([C:4]1([H:16])[H:17])[C:5]([N+:6]([C:7]([C:8]([O:9]2)([H:24])[C:10]([H:25])([H:26])[O:11][H:27])([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])([H:14])[H:15])[H:13]
[H:17][c:7]1[c:8]([n:9][c:4]([c:5]([n:6]1)[C:10](=[O:11])[H:19])[S:3][C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[H:18],[H:17][c:7]1[c:8]([n:9][c:4]([c:5]([n:6]1)[C:10](=[O:11])[H:19])[S:3][C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[H:18]
[H:28][C:11](=[O:12])[C:8]1([S:7][C:6]([C:5]([C:10]([S:9]1)([H:26])[H:27])([H:22])[C:4]([H:20])([H:21])[N+:2]([H:16])([C:1]([H:13])([H:14])[H:15])[C:3]([H:17])([H:18])[H:19])([H:23])[H:24])[H:25],[H:28][C:11](=[O:12])[C:8]1([S:7][C:6]([C:5]([C:10]([S:9]1)([H:26])[H:27])([H:22])[C:4]([H:20])([H:21])[N+:2]([H:16])([C:1]([H:13])([H:14])[H:15])[C:3]([H:17])([H:18])[H:19])([H:23])[H:24])[H:25]
[H:13][C:1]([H:14])([H:15])[N:2]([C:3]([H:16])([H:17])[C:4]([H:18])([H:19])[C:5]#[N:6])[C:7]([H:20])([H:21])[C:8]([H:22])([H:23])[C:9]([F:10])([F:11])[F:12],[H:13][C:1]([H:14])([H:15])[N:2]([C:3]([H:16])([H:17])[C:4]([H:18])([H:19])[C:5]#[N:6])[C:7]([H:20])([H:21])[C:8]([H:22])([H:23])[C:9]([F:10])([F:11])[F:12]
[H:23][C:10](=[O:11])[C:4]1([C:5]([N+:6]([C:1]([C:2]([O:3]1)([H:14])[H:15])([H:12])[H:13])([H:19])[C:7]([H:20])([H:21])[C:8](=[O:9])[H:22])([H:17])[H:18])[H:16],[H:23][C:10](=[O:11])[C:4]1([C:5]([N+:6]([C:1]([C:2]([O:3]1)([H:14])[H:15])([H:12])[H:13])([H:19])[C:7]([H:20])([H:21])[C:8](=[O:9])[H:22])([H:17])[H:18])[H:16]
[N:1](=[C:2]1\[C:3]([H:11])=[C:4]([H:12])[C:5](=[O:6])[C:7]([I:8])=[C:9]1[H:13])\[H:10],[N:1](=[C:2]1/[C:3]([H:11])=[C:4]([H:12])[C:5](=[O:6])[C:7]([I:8])=[C:9]1[H:13])\[H:10]
[H:10][C:1]([H:11])([C:2]([H:12])([H:13])[C:3]([H:14])([H:15])[O:4][N+:5](=[O:6])[O-:7])[C:8]([H:16])([H:17])[N:9]([H:18])[H:19],[H:10][C:1]([H:11])([C:2]([H:12])([H:13])[C:3]([H:14])([H:15])[O:4][N+:5](=[O:6])[O-:7])[C:8]([H:16])([H:17])[N:9]([H:18])[H:19]
[N:1]([C:2]1=[N:3][C:4]2=[N+:5]([H:15])[C:6]([I:7])=[N+:8]([H:16])[C@@:9]2([H:17])[C:10](=[O:11])[N:12]1[H:18])([H:13])[H:14],[N:1]([C:2]1=[N:3][C:4]2=[N+:5]([H:15])[C:6]([I:7])=[N+:8]([H:16])[C@:9]2([H:17])[C:10](=[O:11])[N:12]1[H:18])([H:13])[H:14]
[H:19][C:5]1=[C:6]([N:7]([C:8](=[C:4]1[C:3]([H:17])([H:18])[N+:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[H:21])[H:20])[C:9]2([C:10]([C:11]2([H:25])[H:26])([H:23])[H:24])[H:22],[H:19][C:5]1=[C:6]([N:7]([C:8](=[C:4]1[C:3]([H:17])([H:18])[N+:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[H:21])[H:20])[C:9]2([C:10]([C:11]2([H:25])[H:26])([H:23])[H:24])[H:22]
[I:1][C:2]1=[C:6]2[C:5]3=[C:4]([S:3]1)[C:11]([H:19])([H:20])[N+:10]([H:17])([H:18])[C@:9]3([H:16])[C:8]([H:14])([H:15])[C:7]2([H:12])[H:13],[I:1][C:2]1=[C:6]2[C:5]3=[C:4]([S:3]1)[C:11]([H:19])([H:20])[N+:10]([H:17])([H:18])[C@@:9]3([H:16])[C:8]([H:14])([H:15])[C:7]2([H:12])[H:13]
[H:9][C:1]([H:10])([C:2]([C:3]([H:11])([H:12])[O:4][H:13])([C:5]([H:14])([H:15])[O:6][H:16])[O:7][H:17])[N:8]([H:18])[H:19],[H:9][C:1]([H:10])([C:2]([C:3]([H:11])([H:12])[O:4][H:13])([C:5]([H:14])([H:15])[O:6][H:16])[O:7][H:17])[N:8]([H:18])[H:19]
[C:1]([C@@:2]1([H:16])[C:3]([H:17])([H:18])[N:4]([H:19])[C@@:5]([C:6]([H:21])([H:22])[H:23])([H:20])[C:7]2=[C:12]1[N:11]([H:25])[C:9]([I:10])=[C:8]2[H:24])([H:13])([H:14])[H:15],[C:1]([C@:2]1([H:16])[C:3]([H:17])([H:18])[N:4]([H:19])[C@:5]([C:6]([H:21])([H:22])[H:23])([H:20])[C:7]2=[C:12]1[N:11]([H:25])[C:9]([I:10])=[C:8]2[H:24])([H:13])([H:14])[H:15]
[N:1]([C:2]1=[N:3][C:4]([I:5])=[N:6][C@@:7]2([H:14])[N:8]([H:15])[C:9]([H:16])=[N:10][C@:11]12[H:17])([H:12])[H:13],[N:1]([C:2]1=[N:3][C:4]([I:5])=[N:6][C@:7]2([H:14])[N:8]([H:15])[C:9]([H:16])=[N:10][C@@:11]12[H:17])([H:12])[H:13]
[N:1]([C:2]1=[N:3][C:4]([I:5])=[N:6][C@@:7]2([H:14])[N:8]([H:15])[C:9]([H:16])=[N:10][C@@:11]12[H:17])([H:12])[H:13],[N:1]([C:2]1=[N:3][C:4]([I:5])=[N:6][C@:7]2([H:14])[N:8]([H:15])[C:9]([H:16])=[N:10][C@@:11]12[H:17])([H:12])[H:13]
[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4](=[N:5][H:15])[O:6][C:7]([H:16])([H:17])[H:18],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4](=[N:5][H:15])[O:6][C:7]([H:16])([H:17])[H:18]
