train_smiles,test_smiles
[H:13][C:1]([H:14])([H:15])[C:2]([C:3]([H:16])([H:17])[H:18])([C:4]([H:19])([H:20])[H:21])[S:5][C:6]([H:22])([H:23])[C:7]([H:24])([C:8](=[O:9])[C:10]([H:25])([H:26])[O:11][H:27])[N+:12]([H:28])([H:29])[H:30],[H:13][C:1]([H:14])([H:15])[C:2]([C:3]([H:16])([H:17])[H:18])([C:4]([H:19])([H:20])[H:21])[S:5][C:6]([H:22])([H:23])[C:7]([H:24])([C:8](=[O:9])[C:10]([H:25])([H:26])[O:11][H:27])[N+:12]([H:28])([H:29])[H:30]
[N:1](=[C:2]1\[C:3](=[O:4])[O:5][C:6]([H:10])([H:11])[C@:7]1([I:8])[H:12])\[H:9],[N:1](=[C:2]1/[C:3](=[O:4])[O:5][C:6]([H:10])([H:11])[C@@:7]1([I:8])[H:12])\[H:9]
[H:13][C:1]1([C:2]([O:3][C:4]([O:5]1)([H:16])[C:6]([H:17])([H:18])[O:7][P:8](=[O:9])([O-:10])[O-:11])([H:15])[S:12][H:19])[H:14],[H:13][C:1]1([C:2]([O:3][C:4]([O:5]1)([H:16])[C:6]([H:17])([H:18])[O:7][P:8](=[O:9])([O-:10])[O-:11])([H:15])[S:12][H:19])[H:14]
[H:13][C:2]1([C:1]([C:5]([O:4][C:3]1([H:15])[C:8](=[O:9])[N:10]([H:21])[H:22])([H:16])[C:6]([H:17])([H:18])[N:7]([H:19])[H:20])([H:11])[H:12])[H:14],[H:13][C:2]1([C:1]([C:5]([O:4][C:3]1([H:15])[C:8](=[O:9])[N:10]([H:21])[H:22])([H:16])[C:6]([H:17])([H:18])[N:7]([H:19])[H:20])([H:11])[H:12])[H:14]
[H:17][C:4](=[O:5])[C:2]([C:6]1([C:7]([N:8]([C:9]1([H:21])[H:22])[H:20])([H:18])[H:19])[O:10][H:23])([C:1]([H:11])([H:12])[H:13])[C:3]([H:14])([H:15])[H:16],[H:17][C:4](=[O:5])[C:2]([C:6]1([C:7]([N:8]([C:9]1([H:21])[H:22])[H:20])([H:18])[H:19])[O:10][H:23])([C:1]([H:11])([H:12])[H:13])[C:3]([H:14])([H:15])[H:16]
[H:18][C:5](=[O:6])[C:4]([H:17])([C:3]([H:15])([H:16])[C:2]([H:13])([H:14])[C:1]([H:10])([H:11])[H:12])[N:7]([C:8]([H:19])([H:20])[H:21])[C:9]([H:22])([H:23])[H:24],[H:18][C:5](=[O:6])[C:4]([H:17])([C:3]([H:15])([H:16])[C:2]([H:13])([H:14])[C:1]([H:10])([H:11])[H:12])[N:7]([C:8]([H:19])([H:20])[H:21])[C:9]([H:22])([H:23])[H:24]
[H:18][C:7](=[O:8])[C:6](=[N:5][O:4][C:2]([H:14])([C:1]([H:11])([H:12])[H:13])[C:3]([H:15])([H:16])[H:17])[C:9]#[N:10],[H:18][C:7](=[O:8])[C:6](=[N:5][O:4][C:2]([H:14])([C:1]([H:11])([H:12])[H:13])[C:3]([H:15])([H:16])[H:17])[C:9]#[N:10]
[H:26][C:9]1([C:8]([O:7][C:6]([C:5]([C:10]1([H:28])[Br:11])([H:21])[N+:4]([H:19])([H:20])[C:3]([H:17])([H:18])[C:2]([H:16])([C:1]([H:13])([H:14])[H:15])[O:12][H:29])([H:22])[H:23])([H:24])[H:25])[H:27],[H:26][C:9]1([C:8]([O:7][C:6]([C:5]([C:10]1([H:28])[Br:11])([H:21])[N+:4]([H:19])([H:20])[C:3]([H:17])([H:18])[C:2]([H:16])([C:1]([H:13])([H:14])[H:15])[O:12][H:29])([H:22])[H:23])([H:24])[H:25])[H:27]
[H:26][c:10]1[c:9]([c:8]([c:7]([c:12]([c:11]1[H:27])[H:28])[Si:5]2([O:4][C:3]([C:2]([N:1]([C:15]([C:14]([O:13]2)([H:29])[H:30])([H:31])[H:32])[H:16])([H:17])[H:18])([H:19])[H:20])[C:6]([H:21])([H:22])[H:23])[H:24])[H:25],[H:26][c:10]1[c:9]([c:8]([c:7]([c:12]([c:11]1[H:27])[H:28])[Si:5]2([O:4][C:3]([C:2]([N:1]([C:15]([C:14]([O:13]2)([H:29])[H:30])([H:31])[H:32])[H:16])([H:17])[H:18])([H:19])[H:20])[C:6]([H:21])([H:22])[H:23])[H:24])[H:25]
[H:19][C:1](=[O:2])[C@:3]1([C@:12]([C@:11]2([C@@:6]([C:5]1([H:22])[H:23])([C@:7]([N:9]([C:10]2([H:30])[H:31])[H:29])([H:25])[C:8]([H:26])([H:27])[H:28])[H:24])[H:32])([H:33])[C:13]([H:34])([H:35])[C:14]([H:36])([H:37])[C:15]([H:38])([H:39])[B:16]([O:17][H:40])[O:18][H:41])[N:4]([H:20])[H:21],[H:19][C:1](=[O:2])[C@:3]1([C@:12]([C@:11]2([C@@:6]([C:5]1([H:22])[H:23])([C@:7]([N:9]([C:10]2([H:30])[H:31])[H:29])([H:25])[C:8]([H:26])([H:27])[H:28])[H:24])[H:32])([H:33])[C:13]([H:34])([H:35])[C:14]([H:36])([H:37])[C:15]([H:38])([H:39])[B:16]([O:17][H:40])[O:18][H:41])[N:4]([H:20])[H:21]
